High Availability,Term referring to a service with little downtime over an extended period of time. A low downtime/time
Scalability,.
Elasticity,.
Agility,.
Fault Tolerance,Ability to have an interruption (fault) in your service without the application going offline
Disaster Recovery,.
What is Cloud Computing?,"The delivery of computing services over the Internet offering Infrastructure ()VMs, storange, DBs, networking), Platform, and Software as services."
Storage,.
Responsibilities always retained by customer,"Information and data, Devices (Mobile and PCs), Accounts and identites"
Responsibilities that vary by type,"Identity and directory infrastructure, Applications, Network controls, Operating system"
Responsibility transfers to cloud provider,"Physical hosts, Physical network, Physical datacenter"
What is Capex?,"Refers to the spending of money on phyisical infrastructure before operations begin, deducting said expense from taxes over time."
